split,family,seed,method,approximation_ratio,cut_value,optimal_value,runtime_sec,depth,n_nodes,n_edges,objective_std,objective_stderr,n_initial_points,maxiter,n_objective_evaluations,budget_reference
evaluation,d_regular_8_3,505,goemans_williamson,1.0,10.0,10.0,0.01681971549987793,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,505,random_budget_matched,0.9,9.0,10.0,0.0012149810791015625,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,505,hill_climb_budget_matched,1.0,10.0,10.0,0.0004334449768066406,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,606,exact,1.0,10.0,10.0,0.002066373825073242,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,606,qaoa_tuned,0.881118938385842,8.81118938385842,10.0,0.789912223815918,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,606,greedy,1.0,10.0,10.0,0.00034499168395996094,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,606,local_search,1.0,10.0,10.0,0.0003315999638289213,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,606,random_cut,1.0,10.0,10.0,0.0018377304077148438,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,606,goemans_williamson,1.0,10.0,10.0,0.017651796340942383,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,606,random_budget_matched,0.9,9.0,10.0,0.0011327266693115234,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,606,hill_climb_budget_matched,1.0,10.0,10.0,0.0004515647888183594,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,707,exact,1.0,10.0,10.0,0.0021009445190429688,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,707,qaoa_tuned,0.8409584657623803,8.409584657623803,10.0,0.8018841743469238,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,707,greedy,1.0,10.0,10.0,0.0005772113800048828,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,707,local_search,1.0,10.0,10.0,0.000519299996085465,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,707,random_cut,0.8,8.0,10.0,0.0017228126525878906,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,707,goemans_williamson,1.0,10.0,10.0,0.016573667526245117,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,707,random_budget_matched,1.0,10.0,10.0,0.0011687278747558594,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,707,hill_climb_budget_matched,1.0,10.0,10.0,0.0004343986511230469,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,808,exact,1.0,10.0,10.0,0.002138853073120117,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,808,qaoa_tuned,0.8987152597196942,8.987152597196943,10.0,0.7952847480773926,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,808,greedy,1.0,10.0,10.0,0.00048732757568359375,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,808,local_search,1.0,10.0,10.0,0.0004907000111415982,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,808,random_cut,1.0,10.0,10.0,0.001791238784790039,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,808,goemans_williamson,1.0,10.0,10.0,0.018335580825805664,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,808,random_budget_matched,1.0,10.0,10.0,0.0011441707611083984,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,808,hill_climb_budget_matched,1.0,10.0,10.0,0.0004394054412841797,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,909,exact,1.0,10.0,10.0,0.0020580291748046875,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,909,qaoa_tuned,0.9191035727174134,9.191035727174134,10.0,0.7892651557922363,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,909,greedy,1.0,10.0,10.0,0.0004611015319824219,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,909,local_search,1.0,10.0,10.0,0.00031779997516423464,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,909,random_cut,1.0,10.0,10.0,0.0016620159149169922,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,909,goemans_williamson,1.0,10.0,10.0,0.017121076583862305,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,909,random_budget_matched,0.9,9.0,10.0,0.001132965087890625,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,909,hill_climb_budget_matched,1.0,10.0,10.0,0.0004367828369140625,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,1001,exact,1.0,10.0,10.0,0.0020041465759277344,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,1001,qaoa_tuned,0.8305028312107741,8.30502831210774,10.0,0.806286096572876,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,1001,greedy,1.0,10.0,10.0,0.0004878044128417969,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,1001,local_search,1.0,10.0,10.0,0.00048200006131082773,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,1001,random_cut,0.8,8.0,10.0,0.0017497539520263672,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,1001,goemans_williamson,1.0,10.0,10.0,0.016672372817993164,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,1001,random_budget_matched,0.9,9.0,10.0,0.0011262893676757812,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,1001,hill_climb_budget_matched,1.0,10.0,10.0,0.00043010711669921875,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,404,exact,1.0,13.0,13.0,0.0028634071350097656,0,8,19,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,404,qaoa_tuned,0.7583854067685939,9.85901028799172,13.0,1.028136968612671,2,8,19,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,404,greedy,1.0,13.0,13.0,0.0004475116729736328,0,8,19,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,404,local_search,1.0,13.0,13.0,0.00047660002019256353,0,8,19,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,404,random_cut,1.0,13.0,13.0,0.0019752979278564453,0,8,19,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,404,goemans_williamson,1.0,13.0,13.0,0.016509056091308594,0,8,19,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,404,random_budget_matched,0.9230769230769231,12.0,13.0,0.0012788772583007812,0,8,19,0.0,0.0,,,40.0,qaoa_objective_evaluations
